"County","State","Outbreak Date","Flock Type","Flock Size"
"Licking","Ohio","01-18-2023","WOAH Non-Poultry","30"
"Lampasas","Texas","01-18-2023","WOAH Poultry","70"
"Mitchell","Kansas","01-17-2023","Commercial Upland Gamebird Producer","6900"
"Tehama","California","01-12-2023","WOAH Poultry","23700"
"Douglas","Oregon","01-11-2023","WOAH Non-Poultry","0"
"Cascade","Montana","01-10-2023","WOAH Non-Poultry","10"
"Scotts Bluff","Nebraska","01-09-2023","WOAH Non-Poultry","7"
"Sonoma","California","01-09-2023","WOAH Non-Poultry","20"
"San Joaquin","California","01-09-2023","WOAH Non-Poultry","10"
"Sonoma","California","01-09-2023","WOAH Non-Poultry","6"
"Thurston","Washington","01-06-2023","WOAH Non-Poultry","120"
"Weld","Colorado","01-06-2023","WOAH Non-Poultry","40"
"Codington","South Dakota","01-05-2023","WOAH Poultry","140"
"Johnson","Missouri","01-04-2023","WOAH Non-Poultry","30"
"Josephine","Oregon","01-04-2023","WOAH Non-Poultry","30"
"Anderson","Kansas","01-04-2023","Commercial Upland Gamebird Producer","8900"
